1710385044976,120.8085018,30.8055065,118.15
1710385045979,120.8085010,30.8055056,118.23
1710385046982,120.8085003,30.8055046,118.22
1710385047985,120.8084999,30.8055031,117.43
1710385048988,120.8085000,30.8055006,114.86
1710385049991,120.8085006,30.8054968,109.61
1710385050994,120.8085021,30.8054924,102.82
1710385051997,120.8085045,30.8054876,94.43
1710385053000,120.8085078,30.8054829,85.87
1710385054003,120.8085127,30.8054781,76.44
1710385055006,120.8085172,30.8054754,70.32
1710385056009,120.8085220,30.8054740,66.18
1710385057012,120.8085271,30.8054738,64.12
1710385058015,120.8085324,30.8054746,63.65
1710385059018,120.8085378,30.8054760,64.00
1710385060021,120.8085437,30.8054777,64.32
1710385061024,120.8085501,30.8054794,63.97
1710385062027,120.8085572,30.8054811,62.55
1710385063031,120.8085649,30.8054829,60.25
1710385064034,120.8085732,30.8054851,57.47
1710385065037,120.8085816,30.8054880,55.19
1710385066040,120.8085901,30.8054915,53.77
1710385067043,120.8085985,30.8054960,53.36
1710385068046,120.8086072,30.8055011,53.75
1710385069049,120.8086162,30.8055067,54.51
1710385070052,120.8086257,30.8055126,55.13
1710385071055,120.8086359,30.8055186,55.17
1710385072058,120.8086467,30.8055247,54.58
1710385073061,120.8086580,30.8055311,53.73
1710385074064,120.8086696,30.8055379,52.96
1710385075067,120.8086815,30.8055452,52.51
1710385076070,120.8086936,30.8055531,52.51
1710385077073,120.8087060,30.8055614,53.03
1710385078076,120.8087187,30.8055700,53.96
1710385079079,120.8087319,30.8055788,55.15
1710385080082,120.8087456,30.8055875,56.12
1710385081085,120.8087601,30.8055962,56.49
1710385082088,120.8087751,30.8056047,56.18
1710385083091,120.8087906,30.8056133,55.42
1710385084094,120.8088063,30.8056223,54.73
1710385085097,120.8088221,30.8056316,54.17
1710385086100,120.8088380,30.8056413,54.00
1710385087103,120.8088540,30.8056512,54.19
1710385088106,120.8088702,30.8056613,54.47
1710385089109,120.8088866,30.8056715,54.81
1710385090112,120.8089032,30.8056816,55.07
1710385091115,120.8089201,30.8056917,55.02
1710385092118,120.8089372,30.8057018,54.62
1710385093121,120.8089544,30.8057120,54.15
1710385094124,120.8089715,30.8057222,53.64
1710385095127,120.8089888,30.8057327,53.15
1710385096130,120.8090059,30.8057434,52.80
1710385097134,120.8090230,30.8057543,52.80
1710385098137,120.8090399,30.8057653,52.97
1710385099140,120.8090569,30.8057763,53.36
1710385100143,120.8090740,30.8057873,53.70
1710385101146,120.8090913,30.8057982,53.81
1710385102149,120.8091089,30.8058086,52.40
1710385103152,120.8091269,30.8058185,48.17
1710385104155,120.8091449,30.8058287,41.74
1710385105158,120.8091621,30.8058399,33.67
1710385106161,120.8091775,30.8058525,25.38
1710385107164,120.8091903,30.8058666,18.34
1710385108167,120.8091998,30.8058822,14.00
1710385109170,120.8092066,30.8058986,12.38
1710385110173,120.8092118,30.8059155,12.73
1710385111176,120.8092165,30.8059329,13.36
1710385112179,120.8092216,30.8059505,13.15
1710385113182,120.8092270,30.8059682,11.82
1710385114185,120.8092324,30.8059862,9.54
1710385115188,120.8092371,30.8060043,7.23
1710385116191,120.8092408,30.8060227,5.28
1710385117194,120.8092436,30.8060413,3.85
1710385118197,120.8092456,30.8060600,3.08
1710385119200,120.8092469,30.8060788,2.79
1710385120203,120.8092480,30.8060977,2.74
1710385121206,120.8092490,30.8061203,2.82
1710385122209,120.8092498,30.8061392,2.91
1710385123212,120.8092505,30.8061582,3.15
1710385124215,120.8092513,30.8061771,3.28
1710385125218,120.8092522,30.8061960,3.13
1710385126221,120.8092533,30.8062149,2.75
1710385127224,120.8092542,30.8062339,2.40
1710385128227,120.8092550,30.8062529,2.12
1710385129230,120.8092557,30.8062718,1.77
1710385130233,120.8092564,30.8062907,1.37
1710385131236,120.8092568,30.8063095,0.97
1710385132239,120.8092570,30.8063284,0.89
1710385133242,120.8092570,30.8063473,0.99
1710385134245,120.8092571,30.8063661,1.13
1710385135248,120.8092571,30.8063850,1.11
1710385136251,120.8092572,30.8064038,1.24
1710385137254,120.8092572,30.8064226,1.35
1710385138257,120.8092574,30.8064414,1.50
1710385139260,120.8092575,30.8064602,1.76
1710385140263,120.8092576,30.8064790,1.97
1710385141266,120.8092579,30.8064977,1.99
1710385142269,120.8092583,30.8065165,1.88
1710385143272,120.8092587,30.8065352,1.73
1710385144275,120.8092590,30.8065540,1.65
1710385145278,120.8092593,30.8065727,1.57
1710385146281,120.8092596,30.8065914,1.56
1710385147284,120.8092597,30.8066102,1.74
1710385148287,120.8092598,30.8066289,2.00
1710385149290,120.8092599,30.8066475,2.20
1710385150293,120.8092602,30.8066661,2.29
1710385151296,120.8092607,30.8066847,2.04
1710385152299,120.8092612,30.8067033,1.69
1710385153302,120.8092615,30.8067218,1.37
1710385154305,120.8092617,30.8067404,1.26
1710385155308,120.8092619,30.8067590,1.17
1710385156311,120.8092619,30.8067776,1.17
1710385157314,120.8092619,30.8067962,1.34
1710385158317,120.8092618,30.8068148,1.57
1710385159320,120.8092617,30.8068334,1.81
1710385160323,120.8092618,30.8068520,2.02
1710385161326,120.8092621,30.8068706,2.03
